2019-20 schools.m0     T1.2    p[25] states=38 ncols=[11]
2019-20 schools.m1     T1.3    p[26] states=38 ncols=[11]
2019-20 schools.m2     T1.4    p[27] states=38 ncols=[11]
2019-20 schools.m3     T1.5    p[28] states=38 ncols=[11]
2019-20 schools.m4     T1.6    p[29] states=38 ncols=[11]
2019-20 teachers.m0    T2.1    p[30] states=38 ncols=[11]
2019-20 teachers.m1    T2.2    p[31] states=38 ncols=[11]
2019-20 teachers.m2    T2.3    p[32] states=38 ncols=[11]
2019-20 teachers.m3    T2.4    p[33] states=38 ncols=[11]
2019-20 teachers.m4    T2.5    p[34] states=38 ncols=[11]
2019-20 ptr            T2.11   p[40] states=38 ncols=[4]
2019-20 enrol.m0       T3.1    p[56] states=38 ncols=[7]
2019-20 enrol.m1       T3.2    p[57] states=38 ncols=[7]
2019-20 enrol.m2       T3.3    p[58] states=38 ncols=[7]
2019-20 enrol.m3       T3.4    p[59] states=38 ncols=[7]
2019-20 enrol.m4       T3.5    p[60] states=38 ncols=[7]
2019-20 cwsn           T3.11   p[71] states=38 ncols=[9]
2019-20 ger            T5.1    p[87] states=38 ncols=[15]
2019-20 ner            T5.4    p[90] states=38 ncols=[15]
2019-20 gpi            T5.7    p[93] states=38 ncols=[5]
2019-20 obc_pct        T5.8    p[94] states=38 ncols=[18]
2019-20 minority_pct   T5.10   p[96] states=38 ncols=[18]
2019-20 dropout        T5.13   p[99] states=38 ncols=[9]
2019-20 transition     T5.14   p[100] states=37 ncols=[9]
2019-20 retention      T5.15   p[101] states=37 ncols=[12]
2019-20 in_elec        T6.1    p[102] states=38 ncols=[15]
2019-20 in_water       T6.2    p[104] states=38 ncols=[15]
2019-20 in_btoilet     T6.3    p[106] states=38 ncols=[15]
2019-20 in_gtoilet     T6.4    p[108] states=38 ncols=[15]
2019-20 in_library     T6.7    p[113] states=38 ncols=[15]
2019-20 in_computer    T6.9    p[115] states=38 ncols=[15]
2019-20 in_internet    T6.11   p[117] states=38 ncols=[15]
2019-20 in_ramps       T6.13   p[120] states=38 ncols=[15]
